study,study_id,cohort,group,measure,units,n,timepoint,timepoint_mean,timepoint_median,timepoint_range,timepoint_iqr,timepoint_sd,n_timepoints,inj_mean,inj_sd,inj_med,inj_iqr,inj_range,noninj_mean,noninj_sd,noninj_med,noninj_iqr,noninj_range,lsi_mean,lsi_sd,lsi_med,lsi_iqr,lsi_range,notes
Piussi 2020,#4235,Beischer 2019,Male,side hop,lsi,120,1,12,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.7,17.1,NA,NA,NA,NA
Piussi 2020,#4235,Beischer 2019,Female,quad isk con 90,lsi,208,1,12,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.2,12.1,NA,NA,NA,NA
Piussi 2020,#4235,Beischer 2019,Female,hs isk con 90,lsi,208,1,12,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.8,14.8,NA,NA,NA,NA
Piussi 2020,#4235,Beischer 2019,Female,vertical hop,lsi,208,1,12,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.5,15.7,NA,NA,NA,NA
Piussi 2020,#4235,Beischer 2019,Female,single hop,lsi,208,1,12,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.1,8.7,NA,NA,NA,NA
Piussi 2020,#4235,Beischer 2019,Female,side hop,lsi,208,1,12,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.9,18.8,NA,NA,NA,NA
Rhim 2020,#4431,Rhim 2020,ACLR,calf isk con 120,nm/kg,32,1,0.1,NA,NA,NA,NA,2,21,13.9,NA,NA,NA,72,22.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhim 2020,#4431,Rhim 2020,ACLR,calf isk con 120,nm/kg,32,2,12,NA,NA,NA,NA,2,77,22.9,NA,NA,NA,78,22.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhim 2020,#4431,Rhim 2020,ACLR,soleus isk con 120,nm/kg,32,1,0.1,NA,NA,NA,NA,2,41,10.9,NA,NA,NA,50,18.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhim 2020,#4431,Rhim 2020,ACLR,soleus isk con 120,nm/kg,32,2,12,NA,NA,NA,NA,2,54,15.9,NA,NA,NA,49,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhim 2020,#4431,Rhim 2020,ACLR,quad isk con 180,nm/kg,32,1,0.1,NA,NA,NA,NA,2,98,55.1,NA,NA,NA,198,67.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhim 2020,#4431,Rhim 2020,ACLR,quad isk con 180,nm/kg,32,2,12,NA,NA,NA,NA,2,159,63.7,NA,NA,NA,214,54.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhim 2020,#4431,Rhim 2020,ACLR,hs isk con 180,nm/kg,32,1,0.1,NA,NA,NA,NA,2,49,36.4,NA,NA,NA,90,29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhim 2020,#4431,Rhim 2020,ACLR,hs isk con 180,nm/kg,32,2,12,NA,NA,NA,NA,2,80,31.3,NA,NA,NA,100,25.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhim 2020,#4431,Rhim 2020,Healthy Control,calf isk con 120,nm/kg,32,2,12,NA,NA,NA,NA,2,81,22.5,NA,NA,NA,81,23.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhim 2020,#4431,Rhim 2020,Healthy Control,soleus isk con 120,nm/kg,32,2,12,NA,NA,NA,NA,2,47,16.1,NA,NA,NA,49,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhim 2020,#4431,Rhim 2020,Healthy Control,quad isk con 180,nm/kg,32,2,12,NA,NA,NA,NA,2,238,35.3,NA,NA,NA,247,26.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhim 2020,#4431,Rhim 2020,Healthy Control,hs isk con 180,nm/kg,32,2,12,NA,NA,NA,NA,2,142,26.4,NA,NA,NA,168,26.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Riesterer 2020,#4407,Riesterer 2020,Group 1,quad isk con 60,nm/kg,80,1,0.1,NA,NA,NA,NA,2,1.3,0.5,NA,NA,NA,1.7,0.5,NA,NA,NA,79,23,NA,NA,NA,NA
Riesterer 2020,#4407,Riesterer 2020,Group 1,quad isk con 60,nm/kg,80,2,6,NA,NA,NA,NA,2,1.6,0.5,NA,NA,NA,1.9,0.4,NA,NA,NA,84,16,NA,NA,NA,NA
Riesterer 2020,#4407,Riesterer 2020,Group 1,hs isk con 60,NA,80,1,0.1,NA,NA,NA,NA,2,1,0.3,NA,NA,NA,1.2,0.31,NA,NA,NA,82,19,NA,NA,NA,NA
Riesterer 2020,#4407,Riesterer 2020,Group 1,hs isk con 60,NA,80,2,6,NA,NA,NA,NA,2,1.1,0.3,NA,NA,NA,1.3,0.3,NA,NA,NA,84,13,NA,NA,NA,NA
Roger 2020,#3930,Roger 2020,4ST,quad isk con 60,lsi,33,1,0.1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.1,20.3,NA,NA,NA,NA
Roger 2020,#3930,Roger 2020,4ST,quad isk con 60,lsi,33,2,6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,16,NA,NA,NA,NA
Roger 2020,#3930,Roger 2020,4ST,quad isk con 60,lsi,33,3,24,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,12,NA,NA,NA,NA
Roger 2020,#3930,Roger 2020,4ST,hs isk con 60,NA,33,1,0.1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.4,16.2,NA,NA,NA,NA
Roger 2020,#3930,Roger 2020,4ST,hs isk con 60,NA,33,2,6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,13,NA,NA,NA,NA
Roger 2020,#3930,Roger 2020,4ST,hs isk con 60,NA,33,3,24,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,16,NA,NA,NA,NA
Roger 2020,#3930,Roger 2020,4ST,quad isk con 240,NA,33,1,0.1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.9,21.4,NA,NA,NA,NA
Roger 2020,#3930,Roger 2020,4ST,quad isk con 240,NA,33,2,6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,17,NA,NA,NA,NA
Roger 2020,#3930,Roger 2020,4ST,quad isk con 240,NA,33,3,24,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,15,NA,NA,NA,NA
Roger 2020,#3930,Roger 2020,4ST,hs isk con 240,NA,33,1,0.1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.1,21.6,NA,NA,NA,NA
Roger 2020,#3930,Roger 2020,4ST,hs isk con 240,NA,33,2,6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,21,NA,NA,NA,NA
Roger 2020,#3930,Roger 2020,4ST,hs isk con 240,NA,33,3,24,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,17,NA,NA,NA,NA
Roger 2020,#3930,Roger 2020,ST/G,quad isk con 60,lsi,27,1,0.1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.8,21.8,NA,NA,NA,NA
Roger 2020,#3930,Roger 2020,ST/G,quad isk con 60,lsi,27,2,6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,17,NA,NA,NA,NA
Roger 2020,#3930,Roger 2020,ST/G,quad isk con 60,lsi,27,3,24,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,17,NA,NA,NA,NA
Roger 2020,#3930,Roger 2020,ST/G,hs isk con 60,NA,27,1,0.1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.5,17.9,NA,NA,NA,NA
Roger 2020,#3930,Roger 2020,ST/G,hs isk con 60,NA,27,2,6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,11,NA,NA,NA,NA
Roger 2020,#3930,Roger 2020,ST/G,hs isk con 60,NA,27,3,24,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,11,NA,NA,NA,NA
Roger 2020,#3930,Roger 2020,ST/G,quad isk con 240,NA,27,1,0.1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.8,20.9,NA,NA,NA,NA
Roger 2020,#3930,Roger 2020,ST/G,quad isk con 240,NA,27,2,6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,16,NA,NA,NA,NA
Roger 2020,#3930,Roger 2020,ST/G,quad isk con 240,NA,27,3,24,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,14,NA,NA,NA,NA
Roger 2020,#3930,Roger 2020,ST/G,hs isk con 240,NA,27,1,0.1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.1,13.4,NA,NA,NA,NA
Roger 2020,#3930,Roger 2020,ST/G,hs isk con 240,NA,27,2,6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,13,NA,NA,NA,NA
Roger 2020,#3930,Roger 2020,ST/G,hs isk con 240,NA,27,3,24,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,19,NA,NA,NA,NA
Sherman 2020,#8754,Sherman 2020,IKDC Not Met,quad isk con 60,lsi,111,1,6.1,NA,NA,NA,1.6,1,1.47,0.49,NA,NA,NA,NA,NA,NA,NA,NA,64,17,NA,NA,NA,NA
Sherman 2020,#8754,Sherman 2020,IKDC Not Met,hs isk con 60,lsi,111,1,6.1,NA,NA,NA,1.6,1,0.96,0.26,NA,NA,NA,NA,NA,NA,NA,NA,87,18,NA,NA,NA,NA
Stropnik 2020,#8405,Stropnik 2020,Normal IKDC,single hop,lsi,21,1,0.1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.2,9.9,NA,NA,NA,NA
Stropnik 2020,#8405,Stropnik 2020,Normal IKDC,single hop,lsi,21,2,6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.4,11.6,NA,NA,NA,NA
Stropnik 2020,#8405,Stropnik 2020,Normal IKDC,single hop,lsi,21,3,12,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.6,6,NA,NA,NA,NA
Stropnik 2020,#8405,Stropnik 2020,Normal IKDC,quad isk con 60,nm/kg,14,2,6,NA,NA,NA,NA,3,2.44,0.55,NA,NA,NA,2.93,0.53,NA,NA,NA,83.6,10,NA,NA,NA,NA
Stropnik 2020,#8405,Stropnik 2020,Normal IKDC,hs isk con 60,nm/kg,14,2,6,NA,NA,NA,NA,3,1.24,0.3,NA,NA,NA,1.48,0.26,NA,NA,NA,83.1,9.2,NA,NA,NA,NA
Stropnik 2020,#8405,Stropnik 2020,Normal IKDC,quad isk con 240,nm/kg,14,2,6,NA,NA,NA,NA,3,1.43,0.27,NA,NA,NA,1.61,0.29,NA,NA,NA,89.3,8,NA,NA,NA,NA
Stropnik 2020,#8405,Stropnik 2020,Normal IKDC,hs isk con 240,nm/kg,14,2,6,NA,NA,NA,NA,3,0.89,0.15,NA,NA,NA,1.01,0.2,NA,NA,NA,88.4,11.3,NA,NA,NA,NA
Stropnik 2020,#8405,Stropnik 2020,Sub-normal IKDC,single hop,lsi,39,1,0.1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.9,23.6,NA,NA,NA,NA
Stropnik 2020,#8405,Stropnik 2020,Sub-normal IKDC,single hop,lsi,39,2,6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.9,15.4,NA,NA,NA,NA
Stropnik 2020,#8405,Stropnik 2020,Sub-normal IKDC,single hop,lsi,39,3,12,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.9,14.5,NA,NA,NA,NA
Stropnik 2020,#8405,Stropnik 2020,Sub-normal IKDC,quad isk con 60,nm/kg,23,2,6,NA,NA,NA,NA,3,1.9,0.51,NA,NA,NA,2.37,0.46,NA,NA,NA,81.6,11.5,NA,NA,NA,NA
Stropnik 2020,#8405,Stropnik 2020,Sub-normal IKDC,hs isk con 60,nm/kg,23,2,6,NA,NA,NA,NA,3,1.06,0.27,NA,NA,NA,1.32,0.39,NA,NA,NA,84,14.8,NA,NA,NA,NA
Stropnik 2020,#8405,Stropnik 2020,Sub-normal IKDC,quad isk con 240,nm/kg,23,2,6,NA,NA,NA,NA,3,1.11,0.3,NA,NA,NA,1.24,0.29,NA,NA,NA,91.9,14.4,NA,NA,NA,NA
Stropnik 2020,#8405,Stropnik 2020,Sub-normal IKDC,hs isk con 240,nm/kg,23,2,6,NA,NA,NA,NA,3,0.74,0.23,NA,NA,NA,0.82,0.32,NA,NA,NA,96,14.7,NA,NA,NA,NA
Welling 2020,#7293,Welling 2020,RTS,single hop,cm,46,1,10.1,NA,NA,NA,NA,1,163.7,27.4,NA,NA,NA,168.8,25.6,NA,NA,NA,97.1,8.4,NA,NA,NA,NA
Welling 2020,#7293,Welling 2020,RTS,triple hop,cm,46,1,10.1,NA,NA,NA,NA,1,524.8,84.4,NA,NA,NA,538.9,81.2,NA,NA,NA,97.4,6.4,NA,NA,NA,NA
Welling 2020,#7293,Welling 2020,RTS,side hop,reps,46,1,10.1,NA,NA,NA,NA,1,53.3,13.1,NA,NA,NA,54.4,11.6,NA,NA,NA,98,14.1,NA,NA,NA,NA
Welling 2020,#7293,Welling 2020,RTS,quad isk con 60,nm,46,1,10.1,NA,NA,NA,NA,1,223.9,51.2,NA,NA,NA,239.3,53.6,NA,NA,NA,93.9,9.2,NA,NA,NA,NA
Welling 2020,#7293,Welling 2020,RTS,hs isk con 60,nm,46,1,10.1,NA,NA,NA,NA,1,136.8,31.9,NA,NA,NA,137,31.7,NA,NA,NA,100.1,9.8,NA,NA,NA,NA
Welling 2020,#7293,Welling 2020,RTS,quad isk con 180,nm,46,1,10.1,NA,NA,NA,NA,1,158.2,37.4,NA,NA,NA,167.4,37.2,NA,NA,NA,94.7,9.1,NA,NA,NA,NA
Welling 2020,#7293,Welling 2020,RTS,hs isk con 180,nm,46,1,10.1,NA,NA,NA,NA,1,107.9,25.2,NA,NA,NA,109.3,23.8,NA,NA,NA,98.7,9.7,NA,NA,NA,NA
Welling 2020,#7293,Welling 2020,RTS,quad isk con 300,nm,46,1,10.1,NA,NA,NA,NA,1,121.3,30.2,NA,NA,NA,129.5,30.5,NA,NA,NA,93.7,8.7,NA,NA,NA,NA
Welling 2020,#7293,Welling 2020,RTS,hs isk con 300,nm,46,1,10.1,NA,NA,NA,NA,1,91.4,21.3,NA,NA,NA,91.4,20.4,NA,NA,NA,100.1,9.4,NA,NA,NA,NA
Welling 2020,#7293,Welling 2020,No RTS,single hop,cm,18,1,10.1,NA,NA,NA,NA,1,142.4,35.6,NA,NA,NA,149.4,29.5,NA,NA,NA,95,13.4,NA,NA,NA,NA
Welling 2020,#7293,Welling 2020,No RTS,triple hop,cm,18,1,10.1,NA,NA,NA,NA,1,469.3,91.5,NA,NA,NA,487.4,75.2,NA,NA,NA,96.1,9.7,NA,NA,NA,NA
Welling 2020,#7293,Welling 2020,No RTS,side hop,reps,18,1,10.1,NA,NA,NA,NA,1,43.8,17.1,NA,NA,NA,46.9,14,NA,NA,NA,91.3,17.1,NA,NA,NA,NA
Welling 2020,#7293,Welling 2020,No RTS,quad isk con 60,nm,18,1,10.1,NA,NA,NA,NA,1,208,42.6,NA,NA,NA,223.4,45,NA,NA,NA,93.5,9.2,NA,NA,NA,NA
Welling 2020,#7293,Welling 2020,No RTS,hs isk con 60,nm,18,1,10.1,NA,NA,NA,NA,1,113.1,31.4,NA,NA,NA,125.1,36.6,NA,NA,NA,91.3,8.7,NA,NA,NA,NA
Welling 2020,#7293,Welling 2020,No RTS,quad isk con 180,nm,18,1,10.1,NA,NA,NA,NA,1,146.7,34.7,NA,NA,NA,155.2,34,NA,NA,NA,89.6,24.8,NA,NA,NA,NA
Welling 2020,#7293,Welling 2020,No RTS,hs isk con 180,nm,18,1,10.1,NA,NA,NA,NA,1,89.9,24.8,NA,NA,NA,98.4,27.3,NA,NA,NA,91.7,9.5,NA,NA,NA,NA
Welling 2020,#7293,Welling 2020,No RTS,quad isk con 300,nm,18,1,10.1,NA,NA,NA,NA,1,112.2,30.6,NA,NA,NA,120.1,30.1,NA,NA,NA,93.7,9.1,NA,NA,NA,NA
Welling 2020,#7293,Welling 2020,No RTS,hs isk con 300,nm,18,1,10.1,NA,NA,NA,NA,1,76.3,21.4,NA,NA,NA,80.7,22.2,NA,NA,NA,94.8,10.4,NA,NA,NA,NA
Yuya 2020,#7046,Yuya 2020,Excellent pre QSI,quad isk con 60,lsi,122,1,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.6,16.8,NA,NA,NA,NA
Yuya 2020,#7046,Yuya 2020,Excellent pre QSI,quad isk con 60,lsi,122,2,6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.7,14.7,NA,NA,NA,NA
Yuya 2020,#7046,Yuya 2020,Excellent pre QSI,quad isk con 60,lsi,122,3,12,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.2,17.5,NA,NA,NA,NA
Yuya 2020,#7046,Yuya 2020,Excellent pre QSI,single hop,lsi,122,3,12,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.6,8,NA,NA,NA,NA
Yuya 2020,#7046,Yuya 2020,Good pre QSI,quad isk con 60,lsi,166,1,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.8,14.3,NA,NA,NA,NA
Yuya 2020,#7046,Yuya 2020,Good pre QSI,quad isk con 60,lsi,166,2,6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.9,16.6,NA,NA,NA,NA
Yuya 2020,#7046,Yuya 2020,Good pre QSI,quad isk con 60,lsi,166,3,12,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.3,14.5,NA,NA,NA,NA
Yuya 2020,#7046,Yuya 2020,Good pre QSI,single hop,lsi,166,3,12,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.4,10,NA,NA,NA,NA
Yuya 2020,#7046,Yuya 2020,Moderate pre QSI,quad isk con 60,lsi,90,1,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.9,17.1,NA,NA,NA,NA
Yuya 2020,#7046,Yuya 2020,Moderate pre QSI,quad isk con 60,lsi,90,2,6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.9,18.6,NA,NA,NA,NA
Yuya 2020,#7046,Yuya 2020,Moderate pre QSI,quad isk con 60,lsi,90,3,12,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.2,19.4,NA,NA,NA,NA
Yuya 2020,#7046,Yuya 2020,Moderate pre QSI,single hop,lsi,90,3,12,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.3,11.6,NA,NA,NA,NA
Yuya 2020,#7046,Yuya 2020,Poor pre QSI,quad isk con 60,lsi,42,1,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.4,21.8,NA,NA,NA,NA
Yuya 2020,#7046,Yuya 2020,Poor pre QSI,quad isk con 60,lsi,42,2,6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.6,24.4,NA,NA,NA,NA
Yuya 2020,#7046,Yuya 2020,Poor pre QSI,quad isk con 60,lsi,42,3,12,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.5,25.7,NA,NA,NA,NA
Yuya 2020,#7046,Yuya 2020,Poor pre QSI,single hop,lsi,42,3,12,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,10.5,NA,NA,NA,NA
Sipka 2019,#8348,Sipka 2019,Group 1,quad isk con 60,nm,65,1,6,NA,NA,NA,NA,1,178.2,51.1,NA,NA,NA,212.1,48.6,NA,NA,NA,84.1,14.8,NA,NA,NA,NA
Sipka 2019,#8348,Sipka 2019,Group 1,hs isk con 60,nm,65,1,6,NA,NA,NA,NA,1,96.9,26.5,NA,NA,NA,112.2,33.1,NA,NA,NA,87.7,12.6,NA,NA,NA,NA
Sipka 2019,#8348,Sipka 2019,Group 1,quad isk con 240,nm,65,1,6,NA,NA,NA,NA,1,106.9,31.4,NA,NA,NA,123.1,31.7,NA,NA,NA,86.6,11.4,NA,NA,NA,NA
Sipka 2019,#8348,Sipka 2019,Group 1,hs isk con 240,nm,65,1,6,NA,NA,NA,NA,1,71.9,18.1,NA,NA,NA,78.9,19.7,NA,NA,NA,92.2,12.7,NA,NA,NA,NA
Sipka 2019,#8348,Sipka 2019,Group 1,single hop,cm,65,1,6,NA,NA,NA,NA,1,127.2,35.6,NA,NA,NA,147,28.8,NA,NA,NA,85,13,NA,NA,NA,NA
Akoto 2019,#3545,Akoto 2019,QT,single hop,lsi,41,1,14,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.2,8.5,NA,NA,NA,NA
Akoto 2019,#3545,Akoto 2019,HT,single hop,lsi,41,1,13.7,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.5,8.5,NA,NA,NA,NA
Almeida 2019,#3357,Almeida 2019,Group 1,quad hhd 90,nm/kg,70,1,24.8,NA,NA,NA,3.3,1,166.6,73.7,NA,NA,NA,NA,NA,NA,NA,NA,87.3,21.9,NA,NA,NA,NA
Almeida 2019,#3357,Almeida 2019,Group 1,quad isk con 60,nm/kg,70,1,24.8,NA,NA,NA,3.3,1,202.6,78.6,NA,NA,NA,NA,NA,NA,NA,NA,72.3,24.9,NA,NA,NA,NA
Bailey 2019,#3115,Bailey 2019,Femoral nerve block,quad isk con 60,lsi,38,1,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.9,16.3,NA,NA,NA,NA
Bailey 2019,#3115,Bailey 2019,Femoral nerve block,quad isk con 180,lsi,38,1,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.4,15.8,NA,NA,NA,NA
Bailey 2019,#3115,Bailey 2019,Femoral nerve block,quad isk con 300,lsi,38,1,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.9,13,NA,NA,NA,NA
Bailey 2019,#3115,Bailey 2019,Adductor canal block,quad isk con 60,lsi,40,1,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.4,13.5,NA,NA,NA,NA
Bailey 2019,#3115,Bailey 2019,Adductor canal block,quad isk con 180,lsi,40,1,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.7,10.2,NA,NA,NA,NA
Bailey 2019,#3115,Bailey 2019,Adductor canal block,quad isk con 300,lsi,40,1,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.3,10.8,NA,NA,NA,NA
Batty 2019,#3423,Batty 2019,100,quad isk con 60,nm,100,1,6.6,NA,NA,NA,NA,2,123.6,53.6,NA,NA,NA,163.3,56,NA,NA,NA,76.2,20.8,NA,NA,NA,NA
Batty 2019,#3423,Batty 2019,100,quad isk con 60,nm,100,2,12.5,NA,NA,NA,NA,2,147.8,51.7,NA,NA,NA,170.5,53.2,NA,NA,NA,87.3,16.2,NA,NA,NA,NA
Beischer 2019,#3070,Beischer 2019,Male,vertical hop,lsi,46,1,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.7,18.5,NA,NA,NA,NA
Beischer 2019,#3070,Beischer 2019,Male,single hop,lsi,46,1,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.7,14.3,NA,NA,NA,NA
Beischer 2019,#3070,Beischer 2019,Male,side hop,lsi,34,1,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.5,23.2,NA,NA,NA,NA
Beischer 2019,#3070,Beischer 2019,Female,vertical hop,lsi,50,1,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.3,102.5,NA,NA,NA,NA
Beischer 2019,#3070,Beischer 2019,Female,single hop,lsi,44,1,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.5,16.2,NA,NA,NA,NA
Beischer 2019,#3070,Beischer 2019,Female,side hop,lsi,27,1,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.2,23.6,NA,NA,NA,NA
Cristiani 2019,#2174,Cristiani 2019,Male,quad isk con 90,lsi,2223,1,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.8,15.9,NA,NA,NA,NA
Cristiani 2019,#2174,Cristiani 2019,Male,hs isk con 90,lsi,2223,1,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.7,22.8,NA,NA,NA,NA
Cristiani 2019,#2174,Cristiani 2019,Male,single hop,lsi,1926,1,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.4,12.2,NA,NA,NA,n adjusted calculated based on % in table 1.
Cristiani 2019,#2174,Cristiani 2019,Female,quad isk con 90,lsi,1870,1,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,15.4,NA,NA,NA,NA
Cristiani 2019,#2174,Cristiani 2019,Female,hs isk con 90,lsi,1870,1,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.2,15.6,NA,NA,NA,NA
Cristiani 2019,#2174,Cristiani 2019,Female,single hop,lsi,1615,1,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.7,13.5,NA,NA,NA,NA
Dempsey 2019,#1708,Dempsey 2019,All included,quad mvic 90,nm/kg,60,1,6.3,NA,NA,NA,1.3,1,2.23,0.74,NA,NA,NA,3.11,0.87,NA,NA,NA,73.45,24.2,NA,NA,NA,Combined with formula
Dempsey 2019,#1708,Dempsey 2019,All included,quad isk con 90,nm/kg,60,1,6.3,NA,NA,NA,1.3,1,1.65,0.5,NA,NA,NA,1.86,0.76,NA,NA,NA,71.55,16.66,NA,NA,NA,Combined with formula
Dempsey 2019,#1708,Dempsey 2019,All included,single hop,cm/cm,60,1,6.3,NA,NA,NA,1.3,1,1.15,0.4,NA,NA,NA,1.35,0.35,NA,NA,NA,87.33,13.18,NA,NA,NA,NA
