study,group,name,graft,n,age_mean,age_sd,female,bmi_mean,bmi_sd,tegner,age_other,bmi_note,group_indep,group_indep_notes,timepoint_combo,combination_notes
Myklebust 2017,2,Healthy Control,"NA",778,20.68,3.84,778,23.03,0.32,NA,NA,NA,1,NA,0,NA
Nawasreh 2017,1,Pass,mixed,48,26.33,9.39,11,24.71,3.17,NA,NA,NA,1,NA,1,NA
Nawasreh 2017,2,Fail,mixed,47,28.02,11.81,21,25.32,4.62,NA,NA,NA,1,NA,1,NA
Perraton 2017,1,ACLR,HS,66,28.4,6.2,23,25.3,3.3,NA,NA,Age at testing,1,NA,0,NA
Perraton 2017,2,Healthy Control,"NA",41,25.8,5.3,16,24,2.6,NA,NA,NA,1,NA,0,NA
Pua 2017,1,Group 1,mixed,106,26,8,23,24.2,3.4,7,NA,NA,NA,NA,0,NA
Ueda 2017,1,Group 1,HS,193,21,6.8,87,NA,NA,8,NA,NA,NA,NA,0,NA
Webster 2017,1,Male,HS,1662,28.1,10,0,NA,NA,NA,NA,NA,1,NA,0,NA
Webster 2017,2,Female,HS,908,28.1,10,908,NA,NA,NA,NA,NA,1,NA,0,NA
Yoo 2017,1,Autograft,HS,68,30,NA,7,NA,NA,NA,NA,NA,1,NA,1,NA
Yoo 2017,2,Allograft,TA Allograft,64,24,NA,5,NA,NA,NA,NA,NA,1,NA,1,NA
Zult 2017,1,ACL,ACLD,32,23,4,16,24,3,NA,NA,NA,1,NA,1,NA
Zult 2017,2,Healthy Control - Active,"NA",20,22,2,10,23,2,NA,NA,NA,1,NA,1,NA
Zult 2017,3,Healthy Control - Less active,"NA",20,22,1,10,23,5,NA,NA,NA,1,NA,1,NA
Akelman 2016,1,Low tension,mixed,46,24,2.7,22,NA,NA,NA,NA,NA,1,NA,1,NA
Akelman 2016,2,High tension,mixed,44,23,2.1,26,NA,NA,NA,NA,NA,1,NA,1,NA
Akelman 2016,3,Healthy Control,"NA",60,25,1.6,26,NA,NA,NA,NA,NA,1,NA,1,NA
Bartels 2016,1,Speedcourt,HS,28,31.4,7.48,6,24.7,2.5,NA,NA,NA,1,NA,1,NA
Bartels 2016,2,Regular,HS,22,34.4,12.5,8,23.8,2.82,NA,NA,NA,1,NA,1,NA
Bell 2016,1,Low quadriceps,mixed,18,18.7,1.6,17,NA,NA,NA,NA,NA,1,NA,1,NA
Bell 2016,2,High quadriceps,mixed,37,19.1,1.7,31,NA,NA,NA,NA,NA,1,NA,1,NA
Bell 2016,3,Healthy Control,"NA",73,19.8,1.5,60,NA,NA,NA,NA,NA,1,NA,1,NA
Culvenor 2016b,1,ACLR,HS,97,NA,NA,31,25.8,3.9,NA,Median 28 (IQR 23-35),NA,1,NA,0,NA
Culvenor 2016b,2,Healthy Control,"NA",48,NA,NA,28,22.5,2.3,NA,Median 30 (IQR 25-34),NA,1,NA,0,NA
Eiji 2016,1,Group I,HS,44,27,NA,14,NA,NA,NA,Range 14-57,NA,1,NA,1,NA
Eiji 2016,2,Group II,HS,53,26,NA,22,NA,NA,NA,Range 15-50,NA,1,NA,1,NA
Goetschius 2016,1,ACLR,not stated,53,23.4,4.9,26,NA,NA,NA,NA,NA,1,NA,0,NA
Goetschius 2016,2,Healthy Control,"NA",50,23.3,4.4,22,NA,NA,NA,NA,NA,1,NA,0,NA
Grindem 2016,1,Group 1,ACLD,100,24.3,7.3,54,NA,NA,NA,NA,NA,NA,NA,0,NA
Jeong-Ku 2016,1,Single,HS,48,25.1,NA,8,NA,NA,NA,NA,NA,1,NA,1,NA
Jeong-Ku 2016,2,Double,HS,48,24.8,NA,8,NA,NA,NA,NA,NA,1,NA,1,NA
Karikis 2016,1,SB,HS,50,28,8.5,15,25.5,3.6,7.8,NA,NA,1,NA,1,NA
Karikis 2016,2,DB,HS,53,30,9.2,18,24.9,2.5,7.3,NA,NA,1,NA,1,NA
Kilinc 2016,1,Transtibial,HS,27,27.96,6.47,NA,NA,NA,NA,NA,NA,1,NA,1,NA
Kilinc 2016,2,Anatomic,HS,28,28.39,6.06,27,NA,NA,NA,NA,NA,1,NA,1,NA
Konrads 2016,1,BPTB,BPTB,31,29.8,NA,9,NA,NA,NA,NA,NA,1,NA,1,NA
Konrads 2016,2,ST,HS - ST,31,29.8,NA,8,NA,NA,NA,NA,NA,1,NA,1,NA
Kyritsis 2016,1,No graft rupture,mixed,132,21,4,0,NA,NA,NA,NA,NA,1,NA,1,NA
Kyritsis 2016,2,Graft rupture,mixed,26,22,5,0,NA,NA,NA,NA,NA,1,NA,1,NA
Labanca 2016,1,Group 1,BPTB,58,22,6,5,NA,NA,NA,NA,NA,NA,NA,0,NA
Lee 2016,1,HS,HS - DB,48,29.9,NA,4,24.8,3.2,NA,Range 17-58,NA,1,NA,1,NA
Lee 2016,2,Quadriceps,QT,48,31.1,NA,4,25.1,2.7,NA,Range 17-57,NA,1,NA,1,NA
Lepley 2016,1,Group 1,BPTB,54,19.9,5.1,31,NA,NA,NA,NA,NA,NA,NA,0,NA
Risberg 2016,1,Combined,mixed,168,NA,NA,73,26.7,4,NA,45.2 (9.1) (current),NA,NA,NA,0,NA
Sasaki 2016,1,DB-HT,HS,67,28.2,12.6,35,23.2,3.2,NA,NA,NA,1,NA,1,NA
Sasaki 2016,2,RTSB-PT,BPTB,69,27,11.9,36,23.1,3.1,NA,NA,NA,1,NA,1,NA
Chen 2015,1,Acute,LARS,27,29.4,5.8,12,NA,NA,NA,NA,NA,1,NA,1,NA
Chen 2015,2,Chronic,LARS,28,31.9,7,17,NA,NA,NA,NA,NA,1,NA,1,NA
Chung 2015a,1,ACL,HS,75,27.9,8.6,11,24.7,2.7,6.3,NA,NA,1,NA,0,NA
Chung 2015a,2,Healthy Control,"NA",75,27.6,7,11,23.9,3.3,6.4,NA,NA,1,NA,0,NA
Lima 2015,1,ACL,not stated,27,25.6,5.8,0,25.6,4.4,NA,NA,NA,1,NA,0,NA
Lima 2015,2,Healthy Control,"NA",27,23.7,4.3,0,25.6,3.4,NA,NA,NA,1,NA,0,NA
Goetschius 2015,1,ACLR,not stated,32,24.1,4.9,14,NA,NA,NA,NA,NA,1,NA,0,NA
Goetschius 2015,2,Healthy Control,"NA",32,24.3,4,15,NA,NA,NA,NA,NA,1,NA,0,NA
Heijne 2015,1,BPTB,BPTB,34,29,7,12,24.3,2.4,NA,NA,NA,1,NA,1,NA
Heijne 2015,2,HS,HS,34,30,9,20,24.2,2.9,NA,NA,NA,1,NA,1,NA
Hsieh 2015,1,ACLR,mixed,28,19.6,4.5,14,NA,NA,NA,NA,NA,1,NA,0,NA
Hsieh 2015,2,Healthy Control,"NA",28,20,4.3,14,NA,NA,NA,NA,NA,1,NA,0,NA
Kanamoto 2015,1,Group 1,HS,57,24.7,NA,35,NA,NA,7,Range 13-51,NA,NA,NA,0,NA
Karimi-Mobarakeh 2015,1,ST/G,HS - ST/G,61,29.7,7.9,11,24.9,4,NA,NA,NA,1,NA,0,NA
Karimi-Mobarakeh 2015,2,ST,HS - ST,58,28.8,8.2,10,23.4,3.3,NA,NA,NA,1,NA,0,NA
Kim 2015a,1,PEG,not stated,40,NA,NA,0,NA,NA,NA,NA,NA,1,NA,1,NA
Kim 2015a,2,NPEG,not stated,40,NA,NA,0,NA,NA,NA,NA,NA,1,NA,1,NA
Kim 2015b,1,Female,not stated,35,28.2,11.3,35,NA,NA,NA,NA,NA,1,NA,1,NA
Kim 2015b,2,Male,not stated,35,29.7,10.7,0,NA,NA,NA,NA,NA,1,NA,1,NA
Koga 2015a,1,SB,HS,25,24,NA,18,NA,NA,6.8,Range 14-44,NA,1,NA,1,NA
Koga 2015a,2,DB,HS,28,25,NA,12,NA,NA,7,Range 14-49,NA,1,NA,1,NA
Koga 2015b,1,P0,HS,25,24.6,NA,7,NA,NA,7,Range 14-52,NA,1,NA,1,NA
Koga 2015b,2,P20,HS,26,26.2,NA,12,NA,NA,7.1,Range 13-63,NA,1,NA,1,NA
Koga 2015b,3,P45,HS,24,22.4,NA,10,NA,NA,6.9,Range 14-42,NA,1,NA,1,NA
Krolikowska 2015,1,ST,HS,20,26.65,9.71,0,NA,NA,NA,NA,NA,1,NA,1,NA
Krolikowska 2015,2,STGR,HS,20,29.55,8.23,0,NA,NA,NA,NA,NA,1,NA,1,NA
Krolikowska 2015,3,Healthy Control,"NA",20,24.9,3.11,0,NA,NA,NA,NA,NA,1,NA,1,NA
Kyung 2015,1,ST,HS - ST,85,28,10.6,0,NA,NA,NA,NA,NA,1,NA,1,NA
Kyung 2015,2,ST/G,HS - ST/G,59,31.3,12.3,0,NA,NA,NA,NA,NA,1,NA,1,NA
Laudner 2015,1,ACLR,BPTB,26,18.7,3.5,11,NA,NA,NA,NA,NA,1,NA,0,NA
Laudner 2015,2,Healthy Control,"NA",26,21.8,3.6,11,NA,NA,NA,NA,NA,1,NA,0,NA
Lentz 2015,1,YRTS,mixed,46,21,8.7,18,NA,NA,8.6,NA,NA,1,NA,1,NA
Lentz 2015,2,NRTS-Other,mixed,13,25.1,9,6,NA,NA,8.2,NA,NA,1,NA,1,NA
Lentz 2015,3,NRTS-Fear/Confidence,mixed,14,28.8,11.6,4,NA,NA,NA,NA,NA,1,NA,1,NA
Mayer 2015,1,Cleared,mixed,37,25.6,13.2,NA,NA,NA,NA,NA,NA,1,NA,1,NA
Mayer 2015,2,Not cleared,mixed,61,21,7.4,NA,NA,NA,NA,NA,NA,1,NA,1,NA
Mohtadi 2015,1,PT,PT,110,28.7,9.7,47,NA,NA,NA,NA,NA,1,NA,1,NA
Mohtadi 2015,2,HT,HS - QB,110,28.5,9.9,51,NA,NA,NA,NA,NA,1,NA,1,NA
Mohtadi 2015,3,DB,HS - DB,110,28.3,9.8,49,NA,NA,NA,NA,NA,1,NA,1,NA
Mouzopoulos 2015,1,PT,PT,32,NA,NA,0,NA,NA,NA,NA,NA,1,NA,1,NA
Mouzopoulos 2015,2,HS,HS,36,NA,NA,0,NA,NA,NA,NA,NA,1,NA,1,NA
Mouzopoulos 2015,3,Healthy Control,"NA",68,25.7,3.4,0,NA,NA,NA,NA,NA,1,NA,1,NA
Palmieri-Smith 2015,1,High Quadriceps,PT,12,19.3,6.3,4,NA,NA,NA,NA,NA,1,NA,1,NA
Palmieri-Smith 2015,2,Moderate Quadriceps,PT,12,21.58,7.49,4,NA,NA,NA,NA,NA,1,NA,1,NA
Palmieri-Smith 2015,3,Low Quadriceps,PT,42,21.09,5.5,42,NA,NA,NA,NA,NA,1,NA,1,NA
Pietrosimone 2015,1,ACLR,mixed,28,21.28,3.79,19,NA,NA,NA,NA,NA,1,NA,0,NA
Pietrosimone 2015,2,Healthy Control,"NA",29,21.55,2.7,20,NA,NA,NA,NA,NA,1,NA,0,NA
Park 2015,1,Isolated ACL Tear,not stated,23,29.3,10.7,7,25.6,4.7,NA,NA,NA,1,NA,1,NA
Park 2015,2,Combined ACL Tear,not stated,27,32.1,10.9,7,24.4,3.6,NA,NA,NA,1,NA,1,NA
Pua 2015,1,Group 1,ACLD,87,26,5.8,14,23.8,3.3,NA,NA,NA,NA,NA,0,NA
Shelbourne 2015,1,Contralateral BPTB,BPTB Contralateral,279,23.2,8.9,142,NA,NA,NA,NA,NA,1,NA,1,NA
Shelbourne 2015,2,Ispilateral BPTB,BPTB,58,24.8,9.5,38,NA,NA,NA,NA,NA,1,NA,1,NA
Wang 2015a,1,More than 20% deficit,HS,42,28.7,NA,16,NA,NA,NA,Range 16-42,NA,NA,NA,1,NA
Wang 2015a,2,Less than 20% deficit,HS,46,26.1,NA,11,NA,NA,NA,Range 17-42,NA,NA,NA,1,NA
Button 2014,1,Healthy Control,"NA",21,26.8,7.7,9,NA,NA,NA,NA,NA,1,NA,1,NA
Button 2014,2,ACLR,HS,21,29.1,9,5,NA,NA,NA,NA,NA,1,NA,1,NA
Button 2014,3,ACLD,ACLD,20,29.2,6,3,NA,NA,NA,NA,NA,1,NA,1,NA
Dauty 2014,1,Patellar,BPTB,30,NA,NA,0,NA,NA,7.7,NA,NA,1,NA,1,NA
Dauty 2014,2,HS,HS,30,NA,NA,0,NA,NA,7.7,NA,NA,1,NA,1,NA
Gifstad 2014,1,EZLoc,HS,55,NA,NA,19,NA,NA,NA,MD 24 (Range 18-45),NA,1,NA,1,NA
Gifstad 2014,2,Bone Mulch,HS,55,NA,NA,20,NA,NA,NA,MD 27 (Range 18-45),NA,1,NA,1,NA
Grindem 2014,1,Non-surgical,ACLD,43,30.2,8.8,19,23.5,2.6,NA,NA,NA,1,NA,1,Only 3rd timepoint for combination
Grindem 2014,2,Surgical,mixed,100,24,7.2,44,23.9,3.3,NA,NA,NA,1,NA,1,Only 3rd timepoint for combination
Jang 2014,1,RTS,HS,51,21.9,4,0,24.4,2.7,6.7,NA,NA,1,NA,1,NA
Jang 2014,2,No RTS,HS,16,21.8,3.5,0,24.7,2.6,6.9,NA,NA,1,NA,1,NA
Koga 2014,1,Control,HS,73,23.2,NA,41,NA,NA,7,Range 14-48,NA,1,NA,1,NA
Koga 2014,2,Notchplasty,HS,64,25.7,NA,40,NA,NA,6.9,Range 14-56,NA,1,NA,1,NA
Leiter 2014,1,Group 1,HS,68,31.2,9.1,25,28.5,4.7,NA,NA,NA,NA,NA,0,NA
Lepley 2014,1,ACLR,mixed,29,21.2,3.7,20,NA,NA,NA,NA,NA,1,NA,0,NA
Lepley 2014,2,Healthy Control,"NA",29,21.5,2.7,20,NA,NA,NA,NA,NA,1,NA,0,NA
Logerstedt 2014,1,below normal IKDC 6m,mixed,76,NA,NA,47,NA,NA,NA,NA,NA,0,"6m groups are indep, and 12m groups are indep. Combine group 1/2 and 3/4 separately , then can use as longitudinal",0,Combine Group 1/2 and 3/4 separately 
Logerstedt 2014,2,Normal IKDC 6m,mixed,82,NA,NA,19,NA,NA,NA,NA,NA,0,"6m groups are indep, and 12m groups are indep. Combine group 1/2 and 3/4 separately , then can use as longitudinal",0,Combine Group 1/2 and 3/4 separately 
Logerstedt 2014,3,below normal IKDC 12m,mixed,31,NA,NA,13,NA,NA,NA,NA,NA,0,"6m groups are indep, and 12m groups are indep. Combine group 1/2 and 3/4 separately , then can use as longitudinal",0,Combine Group 1/2 and 3/4 separately 
Logerstedt 2014,4,normal IKDC 12m,mixed,110,NA,NA,49,NA,NA,NA,NA,NA,0,"6m groups are indep, and 12m groups are indep. Combine group 1/2 and 3/4 separately , then can use as longitudinal",0,Combine Group 1/2 and 3/4 separately 
Telianidis 2014,1,ACLR,HS,28,27,5,9,25,3,NA,NA,NA,1,NA,0,NA
Telianidis 2014,2,Healthy Control,"NA",29,23.8,4.1,14,23.5,2.6,NA,NA,NA,1,NA,0,NA
Tourville 2014,1,Healthy Control,"NA",32,27,7,18,23.8,3.3,6.2,NA,NA,1,NA,0,NA
Tourville 2014,2,ACLR,mixed,38,28,11.84,20,25,3.76,7.6,NA,NA,1,NA,0,NA
Vermesan 2014,1,Medial,HS,23,26.64,5.63,7,25.64,4.23,NA,NA,NA,1,NA,1,NA
Vermesan 2014,2,Lateral,HS,48,29.88,5.94,6,24.38,4.5,NA,NA,NA,1,NA,1,NA
Ahlden 2013,1,SB,HS,50,NA,NA,15,NA,NA,7.8,Median 25 Range 18-52,NA,1,NA,1,NA
Ahlden 2013,2,DB,HS,53,NA,NA,18,NA,NA,7.3,Median 29 IQR 18-52,NA,1,NA,1,NA
Ericsson 2013,1,Exercise alone,ACLD,42,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA
Ericsson 2013,2,Exercise + ACLR,mixed,45,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA
Fleming 2013,1,Low tension,mixed,46,24,2.7,22,NA,NA,NA,NA,NA,1,NA,1,NA
Fleming 2013,2,High tension,mixed,44,23,2.1,26,NA,NA,NA,NA,NA,1,NA,1,NA
Fleming 2013,3,Healthy Control,"NA",60,25,1.6,26,NA,NA,NA,NA,NA,1,NA,1,NA
Gifstad 2013,1,Primary ACLR,mixed,52,36,NA,29,NA,NA,NA,range 20-57,NA,NA,NA,0,NA
Inagaki 2013,1,Group I,HS,61,28.2,11.9,26,NA,NA,NA,NA,NA,1,NA,1,NA
Inagaki 2013,2,Group II,HS,59,26.2,10.3,26,NA,NA,NA,NA,NA,1,NA,1,NA
Koutras 2013,1,Anteromedial,HS,15,21.5,4,0,NA,NA,NA,NA,NA,1,NA,1,NA
Koutras 2013,2,Transtibial,HS,36,24.9,6,0,NA,NA,NA,NA,NA,1,NA,1,NA
Kuenze 2013,1,Healthy Control,"NA",26,24.3,4.3,13,23.8,2.6,NA,NA,NA,1,NA,0,NA
Kuenze 2013,2,ACLR,mixed,26,24.2,4.9,13,24.2,2.4,NA,NA,NA,1,NA,0,NA
Logerstedt 2013,1,Group 1,mixed,83,26.8,11.2,28,25.7,4.8,NA,NA,NA,NA,NA,0,NA
Nakayama 2013,1,Tourniquet group,HS,28,24.8,NA,17,NA,NA,NA,Range 14-45,NA,1,NA,1,NA
Nakayama 2013,2,No tourniquet group,HS,23,26.7,NA,7,NA,NA,NA,Range 15-45,NA,1,NA,1,NA
Noh 2013a,1,Transtibial,Achilles allograft,30,NA,NA,0,23,2.4,NA,MD 24 (Range 18-45),NA,1,NA,1,NA
Noh 2013a,2,Transportal,Achilles allograft,31,NA,NA,0,23.1,1.9,NA,MD 22 Range (19-44),NA,1,NA,1,NA
Noh 2013b,1,Achilles allograft with calc,Achilles allograft,33,NA,NA,0,23.8,2.6,NA,MD 23 range (19-45),NA,1,NA,1,NA
Noh 2013b,2,Achilles allograft free,Achilles allograft,34,NA,NA,0,23.6,2.2,NA,MD 22 (19-44),NA,1,NA,1,NA
Oiestad 2013,1,Combined,BPTB,181,NA,NA,76,26.41,3.69,NA,39.1 (8.7),NA,NA,NA,0,NA
Tugcu 2013,1,Group 1,BPTB,58,26.63,NA,0,NA,NA,NA,Range 19-34,NA,NA,NA,0,NA
Ventura 2013,1,SB,HS,40,28.8,5.8,15,NA,NA,NA,NA,NA,1,NA,1,NA
Ventura 2013,2,DB,HS,40,28.4,8.6,14,NA,NA,NA,NA,NA,1,NA,1,NA
Iriuchishima 2012,1,SB,HS - Single bundle,79,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA
Iriuchishima 2012,2,DB,HS - Double Bundle,56,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA
Jiang 2012,1,Double Bundle Group,BPTB,25,28.5,NA,4,NA,NA,NA,Range 17-42,NA,1,NA,1,NA
Jiang 2012,2,Single Bundle Group,BPTB,27,22.5,NA,9,NA,NA,NA,Range 16-49,NA,1,NA,1,NA
Kawahara 2012,1,ACLD - No genu recurvatum,ACLD,18,25.5,9.2,9,NA,NA,NA,NA,NA,1,NA,1,NA
Kawahara 2012,2,ACLD - Genu recurvatum,ACLD,18,24.6,11,9,NA,NA,NA,NA,NA,1,NA,1,NA
Kawahara 2012,3,Healthy Control - no genu recurvatum,"NA",20,26.4,8.4,10,NA,NA,NA,NA,NA,1,NA,1,NA
Kawahara 2012,4,Healthy Control - genu recurvatum,"NA",20,25,6.1,10,NA,NA,NA,NA,NA,1,NA,1,NA
Grindem 2012,1,Non-operative,ACLD,69,27.9,7.3,32,NA,NA,NA,NA,NA,1,NA,1,NA
Grindem 2012,2,Operative,mixed,69,27.3,6.9,32,NA,NA,NA,NA,NA,1,NA,1,NA
Logerstedt 2012,1,Below Normal Ranges,mixed,17,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA
Logerstedt 2012,2,Within Normal ranges,mixed,68,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA
Lui 2012,1,Combined,mixed,52,25.14,4.6,0,NA,NA,NA,NA,NA,NA,NA,0,NA
Lynch 2012,1,Small Effusion,ACLD,126,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA
Lynch 2012,2,Large Effusion,ACLD,62,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA
Nakase 2012,1,Future contralateral ACLR,HS - ST/G,24,NA,NA,19,NA,NA,NA,NA,NA,1,NA,1,NA
Nakase 2012,2,No future ACLR,HS - ST/G,200,NA,NA,155,NA,NA,NA,NA,NA,1,NA,1,NA
Niki 2012,1,Anterior Knee Pain,mixed,18,28.4,NA,9,NA,NA,5,NA,NA,1,NA,1,NA
Niki 2012,2,No Anterior Knee Pain,mixed,144,29,NA,67,NA,NA,6,NA,NA,1,NA,1,NA
Noh 2012,1,Group 1,Achilles allograft,36,NA,NA,0,23.8,2.6,NA,MD 23 range (19-45),NA,1,NA,1,NA
Noh 2012,2,Group 2,Achilles allograft,35,NA,NA,0,23.6,2.2,NA,MD 22 Range (19-45),NA,1,NA,1,NA
Thomee 2012,1,Group 1,mixed,82,28.24,8.14,26,NA,NA,8,NA,NA,NA,NA,0,NA
Ardern 2011,1,Group 1,HS,503,27.2,8.4,163,NA,NA,NA,NA,NA,NA,NA,0,NA
Bryant 2011,1,ACLD,ACLD,13,32.7,8.6,3,NA,NA,NA,NA,NA,1,NA,1,NA
Bryant 2011,2,ACLR-PT,PT,25,30.5,8.1,11,NA,NA,NA,NA,NA,1,NA,1,NA
Bryant 2011,3,ACLR STGT,HS - ST/G,14,24.5,7.4,2,NA,NA,NA,NA,NA,1,NA,1,NA
Bryant 2011,4,Healthy Control,"NA",33,29.5,8.8,11,NA,NA,NA,NA,NA,1,NA,1,NA
Czamara 2011b,1,Females,HS - ST/G,63,27.03,7.96,25,NA,NA,NA,NA,NA,NA,NA,0,NA
Fujita 2011,1,DB,HS,18,26.2,NA,7,NA,NA,NA,NA,NA,1,NA,1,NA
Fujita 2011,2,AM,HS,18,26.9,NA,12,NA,NA,NA,NA,NA,1,NA,1,NA
Fujita 2011,3,PL,HS,19,22.5,NA,14,NA,NA,NA,NA,NA,1,NA,1,NA
Grindem 2011,1,IKDC below normal,ACLD,21,NA,NA,5,NA,NA,NA,MD 28 IQR 23-31,NA,1,NA,1,NA
Grindem 2011,2,IKDC within normal range,ACLD,60,NA,NA,35,NA,NA,NA,MD 29 IQR 24-35,NA,1,NA,1,NA
Kim 2011,1,Hamstring autograft,HS,39,29.59,8.74,0,NA,NA,NA,NA,NA,1,NA,1,NA
Kim 2011,2,Allograft,HS Allograft,34,27,8.2,0,NA,NA,NA,NA,NA,1,NA,1,NA
Leal-Blanquet 2011,1,BPTBAu,BPTB,15,28.8,7.1,NA,25.1,2.8,NA,NA,NA,1,NA,1,NA
Leal-Blanquet 2011,2,BPTB Allograft,BPTB Allograft,16,25.4,7.3,NA,24.1,3.6,NA,NA,NA,1,NA,1,NA
Leal-Blanquet 2011,3,HT Autograft,HS,20,26.9,10,NA,24.8,2.3,NA,NA,NA,1,NA,1,NA
Niki 2011,1,BPTB-G,BPTB-Gracilis,55,28.4,NA,18,NA,NA,6,Range 14-46,NA,1,NA,1,NA
Niki 2011,2,ST,HS - ST,56,28.7,NA,34,NA,NA,6.2,Range 14-49,NA,1,NA,1,NA
Niki 2011,3,ST-G,HS - ST/G,33,30.5,NA,28,NA,NA,5.2,Range 14-52,NA,1,NA,1,NA
Reinke 2011,1,Female left,not stated,16,NA,NA,16,NA,NA,NA,MD 20 IQR 18-20,MD 23 IQR 22-27,1,NA,1,NA
Reinke 2011,2,Male left,not stated,15,NA,NA,0,NA,NA,NA,MD 21 IQR 21-26,MD 25 IQR 23-26,1,NA,1,NA
Reinke 2011,3,Female right,not stated,25,NA,NA,25,NA,NA,NA,MD 20 IQR 19-25,MD 22 IQR 21-24,1,NA,1,NA
Reinke 2011,4,Male right,not stated,13,NA,NA,0,NA,NA,NA,MD 21 IQR 20-26,MD 28 IQR 26-30,1,NA,1,NA
Wipfler 2011,1,BPT,BPTB,29,NA,NA,11,NA,NA,NA,NA,NA,1,NA,1,NA
Wipfler 2011,2,HT,HS,25,NA,NA,10,NA,NA,NA,NA,NA,1,NA,1,NA
Ardern 2010,1,ST-G,HS - ST/G,30,26.1,6.9,10,NA,NA,NA,NA,NA,1,NA,1,NA
Ardern 2010,2,ST,HS - ST,20,24.4,4.9,5,NA,NA,NA,NA,NA,1,NA,1,NA
Barenius 2010,1,BPTB,BPTB,78,33,6.3,40,NA,NA,NA,NA,NA,1,NA,1,NA
Barenius 2010,2,ST,HS - ST,75,35,7.5,24,NA,NA,NA,NA,NA,1,NA,1,NA
Czamara 2010a,1,Females,HS - ST/G,45,29.6,10.4,45,NA,NA,NA,NA,NA,1,NA,1,NA
Czamara 2010a,2,Males,HS - ST/G,59,28.3,8.2,0,NA,NA,NA,NA,NA,1,NA,1,NA
Dauty 2010,1,PT retrained,PT,21,22.7,1.3,NA,NA,NA,NA,NA,NA,1,NA,1,NA
Dauty 2010,2,STG retrained,HS - ST/G,19,23.8,1.2,NA,NA,NA,NA,NA,NA,1,NA,1,NA
Dauty 2010,3,PT control,PT,20,25.2,1.7,NA,NA,NA,NA,NA,NA,1,NA,1,NA
Dauty 2010,4,STG Control,HS - ST/G,20,23.5,2,NA,NA,NA,NA,NA,NA,1,NA,1,NA
Eitzen 2010b,1,Future Non-op,ACLD,71,27.9,8.9,40,NA,NA,NA,NA,NA,1,NA,1,NA
Eitzen 2010b,2,Future recon,ACLD,74,24.4,7,37,NA,NA,NA,NA,NA,1,NA,1,NA
Eitzen 2010c,1,Group 1,ACLD,100,26.1,NA,56,23.44,NA,NA,Range 14-47,NA,NA,NA,0,NA
Gao 2010,1,Group 1,LARS,159,30,7,54,NA,NA,NA,NA,NA,NA,NA,0,NA
Ghalayani 2010,1,LK,Synthetic Leeds Keio,24,31.7,NA,3,NA,NA,NA,Range 29-34.5,NA,1,NA,1,NA
Ghalayani 2010,2,PT,PT,26,30.9,NA,7,NA,NA,NA,Range 28.1-33.6,NA,1,NA,1,NA
Grant 2010,1,Home,BPTB,40,30.8,10.1,27,NA,NA,NA,NA,NA,1,NA,1,NA
Grant 2010,2,Physical Therapy,BPTB,48,30.3,11.1,23,NA,NA,NA,NA,NA,1,NA,1,NA
Balki 2019,1,KT,mixed,13,27.7,4.1,0,NA,NA,NA,NA,NA,1,NA,1,NA
Balki 2019,2,Sham KT,mixed,13,27.1,7.5,0,NA,NA,NA,NA,NA,1,NA,1,NA
Hoch 2019,1,Group 1,not stated,18,24.6,4.6,12,NA,NA,NA,NA,NA,NA,NA,0,NA
Bando 2017,1,Healthy Control,"NA",22,23,3.2,22,NA,NA,NA,NA,NA,1,NA,0,NA
Bando 2017,2,ACL,not stated,9,29.7,13.9,9,NA,NA,NA,NA,NA,1,NA,0,NA
Tate 2017,1,ACL,mixed,12,20.8,2.1,7,NA,NA,NA,NA,NA,1,NA,0,NA
Tate 2017,2,Healthy Control,"NA",12,23.9,1.4,7,NA,NA,NA,NA,NA,1,NA,0,NA
Hall 2015,1,Poor SLST performance,mixed,15,33.6,NA,6,26.6,NA,NA,Range 15-42,range 21.4-40.7,1,NA,1,NA
Hall 2015,2,Good SLST performance,mixed,18,24.2,NA,8,24.2,NA,NA,Range 17-48,Range 19.5-34.4,1,NA,1,NA
Noehren 2014,1,ACL group,mixed,20,21.1,5.9,20,NA,NA,6.5,NA,NA,1,NA,0,NA
Noehren 2014,2,Healthy Control,"NA",20,22.8,3.1,20,NA,NA,6.8,NA,NA,1,NA,0,NA
Thomas 2013,1,ACL,BPTB,15,20.27,5.38,7,NA,NA,NA,NA,NA,1,NA,0,NA
Thomas 2013,2,Healthy Control,"NA",15,24.73,3.37,8,NA,NA,NA,NA,NA,1,NA,0,NA
Dalton 2011,1,ACLR,mixed,17,24.47,4.12,11,NA,NA,NA,NA,NA,1,NA,0,NA
Dalton 2011,2,Healthy Control,"NA",17,23.17,2.68,11,NA,NA,NA,NA,NA,1,NA,0,NA
